V real;V medido;angulo
4.138;2.755;-7.65084582
4.138;2.747;-7.882076501
4.138;2.745;-6.912470491
4.138;2.743;-6.941834768
4.138;2.743;-6.888061622
4.138;2.741;-6.68856034
4.138;2.741;-6.458595379
4.138;2.746;-5.774787041
4.138;2.753;-6.004123259
4.138;2.762;-5.980127972
4.138;2.759;-6.004123259
4.138;2.763;-5.776477283
4.138;2.772;-5.316386113
4.138;2.777;-5.296467656
4.138;2.786;-5.296467656
4.138;2.787;-5.546888926
4.138;2.797;-5.547565981
4.138;2.808;-5.524684247
4.138;2.812;-5.067944871
4.138;2.819;-4.83913376
4.138;2.835;-4.858623826
4.138;2.839;-4.87827111
4.138;2.851;-4.858623826
4.138;2.862;-4.858623826
4.138;2.875;-4.167896828
4.138;2.887;-4.151150753
4.138;2.89;-4.167896828
4.138;2.906;-3.937096507
4.138;2.925;-4.134538468
4.138;2.938;-3.691266287
4.138;2.954;-3.69135606
4.138;2.967;-3.461253878
4.138;2.981;-3.706289297
4.138;3;-3.218035387
4.138;3.019;-3.012688926
4.138;3.032;-2.299632701
4.138;3.047;-2.758752269
4.138;3.063;-2.308762826
4.138;3.081;-2.539350604
4.138;3.104;-2.539350604
4.138;3.123;-2.538938476
4.138;3.148;-2.529168311
4.138;3.166;-2.549427409
4.138;3.188;-2.308388037
4.138;3.21;-1.402309507
4.138;3.23;-1.854113681
4.138;3.249;-1.61595021
4.138;3.274;-1.61595021
4.138;3.3;-1.61595021
4.138;3.323;-1.609470573
4.138;3.348;-1.61595021
4.138;3.373;-1.609470573
4.138;3.393;-1.385366318
4.138;3.422;-1.609470573
4.138;3.445;-1.615727279
4.138;3.471;-1.61595021
4.138;3.499;-1.609470573
4.138;3.528;-1.61595021
4.138;3.55;-1.61595021
4.138;3.574;-1.609250312
4.138;3.602;-1.61595021
4.138;3.625;-1.61595021
4.138;3.658;-1.615727279
4.138;3.676;-1.609250312
4.138;3.702;-1.615727279
4.138;3.721;-1.615727279
4.138;3.746;-1.615478229
4.138;3.766;-1.61595021
4.138;3.773;-1.615478229
4.138;3.786;-1.622482191
4.138;3.815;-1.61595021
4.138;3.826;-1.61595021
4.138;3.842;-1.61595021
4.138;3.855;-1.846395668
4.138;3.867;-1.609470573
4.138;3.882;-1.379242677
4.138;3.896;-1.609470573
4.138;3.908;-1.622482191
4.138;3.919;-1.61595021
4.138;3.935;-1.61595021
4.138;3.946;-1.846395668
4.138;3.95;-1.838995214
4.138;3.971;-2.094975881
